build_y,offi_nm,size,year,month,day,dong,bo_price,mo_price,ji_code,floor
2017,대농지구 롯데캐슬시티,33.45,2019,12,14, 복대동,400,45,43113,4
2017,대농지구 롯데캐슬시티,48.35,2019,12,15, 복대동,"17,000",0,43113,6
2016,지웰에스테이트 오피스텔,27.61,2019,12,15, 복대동,"10,000",0,43113,11
2019,청주 지웰시티 푸르지오,84.89,2019,12,16, 복대동,"20,000",0,43113,15
2016,지웰에스테이트 오피스텔,55,2019,12,17, 복대동,"17,000",0,43113,4
2017,대농지구 롯데캐슬시티,44.96,2019,12,18, 복대동,"16,500",0,43113,8
2017,대농지구 롯데캐슬시티,33.45,2019,12,18, 복대동,"11,000",0,43113,6
2017,대농지구 롯데캐슬시티,33.45,2019,12,19, 복대동,"3,000",35,43113,10
2016,지웰에스테이트 오피스텔,29.24,2019,12,19, 복대동,"9,450",0,43113,6
2016,지웰에스테이트 오피스텔,27.61,2019,12,20, 복대동,"10,000",0,43113,10
2016,지웰에스테이트 오피스텔,32.91,2019,12,21, 복대동,"11,000",0,43113,3
2017,대농지구 롯데캐슬시티,28.47,2019,12,21, 복대동,"11,000",0,43113,8
2019,청주 지웰시티 푸르지오,84.89,2019,12,23, 복대동,"19,500",0,43113,22
2014,	(870-5)	,43.68,2019,12,25, 복대동,"6,000",0,43113,3
2017,대농지구 롯데캐슬시티,37.16,2019,12,26, 복대동,500,65,43113,5
2017,대농지구 롯데캐슬시티,33.45,2019,12,26, 복대동,"12,000",0,43113,4
2019,청주 지웰시티 푸르지오,84.92,2019,12,28, 복대동,"20,000",0,43113,15
2016,지웰에스테이트 오피스텔,32.91,2019,12,30, 복대동,500,50,43113,3
2017,대농지구 롯데캐슬시티,44.96,2019,12,30, 복대동,"16,000",0,43113,9
2016,지웰에스테이트 오피스텔,32.91,2019,12,30, 복대동,"10,000",0,43113,13
2016,지웰에스테이트 오피스텔,25.23,2019,12,31, 복대동,"9,000",0,43113,5
2017,대농지구 롯데캐슬시티,37.16,2020,1,2, 복대동,"3,000",40,43113,13
2017,대농지구 롯데캐슬시티,33.45,2020,1,3, 복대동,"1,500",30,43113,12
2019,청주 지웰시티 푸르지오,84.89,2020,1,4, 복대동,"19,000",0,43113,24
2017,대농지구 롯데캐슬시티,33.45,2020,1,4, 복대동,"3,000",32,43113,7
2019,청주 지웰시티 푸르지오,84.89,2020,1,5, 복대동,"19,000",0,43113,17
2017,대농지구 롯데캐슬시티,50.53,2020,1,5, 복대동,500,70,43113,3
2016,지웰에스테이트 오피스텔,39.78,2020,1,6, 복대동,"14,000",0,43113,15
