시군구,번지,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202002,13,"11,000",0,11,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,44.09,202002,16,"1,000",70,12,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,44.09,202002,16,500,70,12,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,202002,17,"18,000",0,6,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202002,21,"12,000",0,8,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,202002,22,"18,500",0,13,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202002,24,"13,000",0,15,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,48.35,202002,24,"1,000",75,5,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202002,26,"11,000",0,4,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,202002,27,"18,000",0,10,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,53,202002,28,"10,000",30,11,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202002,29,"12,000",0,9,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,202003,1,"19,000",0,13,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,33.45,202003,6,300,45,5,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,202003,8,"17,500",0,7,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202003,10,"12,500",0,14,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202003,17,"11,000",0,6,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202003,21,"12,000",0,7,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,37.16,202003,27,500,60,4,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,월세,33.45,202003,31,"3,000",33,7,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,48.35,202004,2,"17,500",0,4,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202004,3,"11,500",0,13,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,33.45,202004,4,"12,000",0,3,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,50.53,202004,19,"18,500",0,10,2017,진재로 141
충청북도 청주흥덕구 복대동,288-62,대농지구 롯데캐슬시티,전세,44.96,202004,24,"17,300",0,7,2017,진재로 141
충청북도 청주흥덕구 복대동,288-119,주건축물제1동(288-119),월세,27.59,201906,28,500,40,5,2014,대농로 56
충청북도 청주흥덕구 복대동,288-119,주건축물제1동(288-119),월세,28.94,202003,2,300,33,9,2014,대농로 56
충청북도 청주흥덕구 복대동,288-119,주건축물제1동(288-119),월세,27.59,202003,23,400,37,11,2014,대농로 56
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,29.24,201905,4,500,45,8,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,27,201905,5,"7,000",0,14,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,32.91,201905,7,500,42,7,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,28.52,201905,19,"10,000",0,8,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,27.61,201905,30,500,44,8,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,29.24,201905,31,"11,500",0,13,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,32.91,201906,5,500,40,12,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,32.91,201906,12,"12,000",0,5,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,28.52,201906,17,500,40,5,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,30.33,201906,17,"9,800",0,7,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,29.24,201906,17,"9,150",0,13,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,45.28,201906,20,"15,000",0,13,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,27.61,201906,28,300,42,4,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,27.61,201907,2,"9,500",0,9,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,28.8,201907,13,"10,000",0,4,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,32.91,201907,22,500,48,3,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,29.24,201908,1,"7,500",0,15,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,25.23,201908,1,"9,000",0,2,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,28.52,201908,7,300,42,3,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,55,201908,7,"4,000",40,3,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,55,201908,7,"4,000",40,3,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,30.33,201908,12,"11,000",0,6,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,32.91,201908,15,500,50,12,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,30.33,201908,15,"11,000",0,2,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,25.23,201909,7,"9,370",0,12,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,32.91,201909,8,500,44,8,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,30.33,201909,16,"11,000",0,10,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,30.33,201909,23,"7,500",10,2,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,32.06,201909,26,"8,900",0,15,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,30.33,201909,27,"10,800",0,4,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,27,201909,29,"7,000",0,14,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,28.52,201909,30,"9,500",0,7,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,29.24,201910,2,"9,450",0,5,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,28.52,201910,5,"3,000",23,9,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,29.24,201910,10,"8,000",0,6,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,30.33,201910,12,500,44,9,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,32.06,201910,16,500,45,4,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,30.33,201910,16,"10,500",0,3,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,52.09,201910,20,"15,000",0,13,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,28.52,201910,22,"10,000",0,10,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,28.8,201910,24,"10,000",0,12,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,32.91,201910,30,"10,500",0,9,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,25.23,201911,8,"9,000",0,10,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,32.91,201911,11,"11,000",0,12,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,월세,44.92,201911,15,500,60,15,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,29.24,201911,19,"8,000",0,13,2016,진재로 131
충청북도 청주흥덕구 복대동,288-66,지웰에스테이트 오피스텔,전세,27.61,201911,20,"10,000",0,7,2016,진재로 131
